model_name,d_in,d_out,prec,model_file
dense_2_30_12b,2,30,12,pregen_latency_models/dense_2_30_12b.h5
dense_2_30_14b,2,30,14,pregen_latency_models/dense_2_30_14b.h5
dense_2_30_16b,2,30,16,pregen_latency_models/dense_2_30_16b.h5
dense_2_32_2b,2,32,2,pregen_latency_models/dense_2_32_2b.h5
dense_2_32_4b,2,32,4,pregen_latency_models/dense_2_32_4b.h5
dense_2_32_6b,2,32,6,pregen_latency_models/dense_2_32_6b.h5
dense_2_32_8b,2,32,8,pregen_latency_models/dense_2_32_8b.h5
dense_2_32_10b,2,32,10,pregen_latency_models/dense_2_32_10b.h5
dense_2_32_12b,2,32,12,pregen_latency_models/dense_2_32_12b.h5
dense_2_32_14b,2,32,14,pregen_latency_models/dense_2_32_14b.h5
dense_2_32_16b,2,32,16,pregen_latency_models/dense_2_32_16b.h5
dense_2_34_2b,2,34,2,pregen_latency_models/dense_2_34_2b.h5
dense_2_34_4b,2,34,4,pregen_latency_models/dense_2_34_4b.h5
dense_2_34_6b,2,34,6,pregen_latency_models/dense_2_34_6b.h5
dense_2_34_8b,2,34,8,pregen_latency_models/dense_2_34_8b.h5
dense_2_34_10b,2,34,10,pregen_latency_models/dense_2_34_10b.h5
dense_2_34_12b,2,34,12,pregen_latency_models/dense_2_34_12b.h5
dense_2_34_14b,2,34,14,pregen_latency_models/dense_2_34_14b.h5
dense_2_34_16b,2,34,16,pregen_latency_models/dense_2_34_16b.h5
dense_2_36_2b,2,36,2,pregen_latency_models/dense_2_36_2b.h5
dense_2_36_4b,2,36,4,pregen_latency_models/dense_2_36_4b.h5
dense_2_36_6b,2,36,6,pregen_latency_models/dense_2_36_6b.h5
dense_2_36_8b,2,36,8,pregen_latency_models/dense_2_36_8b.h5
dense_2_36_10b,2,36,10,pregen_latency_models/dense_2_36_10b.h5
dense_2_36_12b,2,36,12,pregen_latency_models/dense_2_36_12b.h5
dense_2_36_14b,2,36,14,pregen_latency_models/dense_2_36_14b.h5
dense_2_36_16b,2,36,16,pregen_latency_models/dense_2_36_16b.h5
dense_2_38_2b,2,38,2,pregen_latency_models/dense_2_38_2b.h5
dense_2_38_4b,2,38,4,pregen_latency_models/dense_2_38_4b.h5
dense_2_38_6b,2,38,6,pregen_latency_models/dense_2_38_6b.h5
dense_2_38_8b,2,38,8,pregen_latency_models/dense_2_38_8b.h5
dense_2_38_10b,2,38,10,pregen_latency_models/dense_2_38_10b.h5
dense_2_38_12b,2,38,12,pregen_latency_models/dense_2_38_12b.h5
dense_2_38_14b,2,38,14,pregen_latency_models/dense_2_38_14b.h5
dense_2_38_16b,2,38,16,pregen_latency_models/dense_2_38_16b.h5
dense_2_40_2b,2,40,2,pregen_latency_models/dense_2_40_2b.h5
dense_2_40_4b,2,40,4,pregen_latency_models/dense_2_40_4b.h5
dense_2_40_6b,2,40,6,pregen_latency_models/dense_2_40_6b.h5
dense_2_40_8b,2,40,8,pregen_latency_models/dense_2_40_8b.h5
dense_2_40_10b,2,40,10,pregen_latency_models/dense_2_40_10b.h5
dense_2_40_12b,2,40,12,pregen_latency_models/dense_2_40_12b.h5
dense_2_40_14b,2,40,14,pregen_latency_models/dense_2_40_14b.h5
dense_2_40_16b,2,40,16,pregen_latency_models/dense_2_40_16b.h5
