model_name,d_in,d_out,d_out2,prec,model_file
dense_16_8_80_8b,16,8,80,8,pregen_2layer_models/dense_16_8_80_8b.h5
dense_16_8_80_10b,16,8,80,10,pregen_2layer_models/dense_16_8_80_10b.h5
dense_16_8_80_12b,16,8,80,12,pregen_2layer_models/dense_16_8_80_12b.h5
dense_16_8_80_14b,16,8,80,14,pregen_2layer_models/dense_16_8_80_14b.h5
dense_16_8_80_16b,16,8,80,16,pregen_2layer_models/dense_16_8_80_16b.h5
dense_16_8_88_2b,16,8,88,2,pregen_2layer_models/dense_16_8_88_2b.h5
dense_16_8_88_4b,16,8,88,4,pregen_2layer_models/dense_16_8_88_4b.h5
dense_16_8_88_6b,16,8,88,6,pregen_2layer_models/dense_16_8_88_6b.h5
dense_16_8_88_8b,16,8,88,8,pregen_2layer_models/dense_16_8_88_8b.h5
dense_16_8_88_10b,16,8,88,10,pregen_2layer_models/dense_16_8_88_10b.h5
dense_16_8_88_12b,16,8,88,12,pregen_2layer_models/dense_16_8_88_12b.h5
dense_16_8_88_14b,16,8,88,14,pregen_2layer_models/dense_16_8_88_14b.h5
dense_16_8_88_16b,16,8,88,16,pregen_2layer_models/dense_16_8_88_16b.h5
dense_16_8_96_2b,16,8,96,2,pregen_2layer_models/dense_16_8_96_2b.h5
dense_16_8_96_4b,16,8,96,4,pregen_2layer_models/dense_16_8_96_4b.h5
dense_16_8_96_6b,16,8,96,6,pregen_2layer_models/dense_16_8_96_6b.h5
dense_16_8_96_8b,16,8,96,8,pregen_2layer_models/dense_16_8_96_8b.h5
dense_16_8_96_10b,16,8,96,10,pregen_2layer_models/dense_16_8_96_10b.h5
dense_16_8_96_12b,16,8,96,12,pregen_2layer_models/dense_16_8_96_12b.h5
dense_16_8_96_14b,16,8,96,14,pregen_2layer_models/dense_16_8_96_14b.h5
dense_16_8_96_16b,16,8,96,16,pregen_2layer_models/dense_16_8_96_16b.h5
dense_16_8_104_2b,16,8,104,2,pregen_2layer_models/dense_16_8_104_2b.h5
dense_16_8_104_4b,16,8,104,4,pregen_2layer_models/dense_16_8_104_4b.h5
dense_16_8_104_6b,16,8,104,6,pregen_2layer_models/dense_16_8_104_6b.h5
dense_16_8_104_8b,16,8,104,8,pregen_2layer_models/dense_16_8_104_8b.h5
dense_16_8_104_10b,16,8,104,10,pregen_2layer_models/dense_16_8_104_10b.h5
dense_16_8_104_12b,16,8,104,12,pregen_2layer_models/dense_16_8_104_12b.h5
dense_16_8_104_14b,16,8,104,14,pregen_2layer_models/dense_16_8_104_14b.h5
dense_16_8_104_16b,16,8,104,16,pregen_2layer_models/dense_16_8_104_16b.h5
dense_16_8_112_2b,16,8,112,2,pregen_2layer_models/dense_16_8_112_2b.h5
dense_16_8_112_4b,16,8,112,4,pregen_2layer_models/dense_16_8_112_4b.h5
dense_16_8_112_6b,16,8,112,6,pregen_2layer_models/dense_16_8_112_6b.h5
dense_16_8_112_8b,16,8,112,8,pregen_2layer_models/dense_16_8_112_8b.h5
dense_16_8_112_10b,16,8,112,10,pregen_2layer_models/dense_16_8_112_10b.h5
dense_16_8_112_12b,16,8,112,12,pregen_2layer_models/dense_16_8_112_12b.h5
dense_16_8_112_14b,16,8,112,14,pregen_2layer_models/dense_16_8_112_14b.h5
dense_16_8_112_16b,16,8,112,16,pregen_2layer_models/dense_16_8_112_16b.h5
dense_16_8_120_2b,16,8,120,2,pregen_2layer_models/dense_16_8_120_2b.h5
dense_16_8_120_4b,16,8,120,4,pregen_2layer_models/dense_16_8_120_4b.h5
dense_16_8_120_6b,16,8,120,6,pregen_2layer_models/dense_16_8_120_6b.h5
dense_16_8_120_8b,16,8,120,8,pregen_2layer_models/dense_16_8_120_8b.h5
dense_16_8_120_10b,16,8,120,10,pregen_2layer_models/dense_16_8_120_10b.h5
dense_16_8_120_12b,16,8,120,12,pregen_2layer_models/dense_16_8_120_12b.h5
dense_16_8_120_14b,16,8,120,14,pregen_2layer_models/dense_16_8_120_14b.h5
dense_16_8_120_16b,16,8,120,16,pregen_2layer_models/dense_16_8_120_16b.h5
dense_16_8_128_2b,16,8,128,2,pregen_2layer_models/dense_16_8_128_2b.h5
dense_16_8_128_4b,16,8,128,4,pregen_2layer_models/dense_16_8_128_4b.h5
dense_16_8_128_6b,16,8,128,6,pregen_2layer_models/dense_16_8_128_6b.h5
dense_16_8_128_8b,16,8,128,8,pregen_2layer_models/dense_16_8_128_8b.h5
dense_16_8_128_10b,16,8,128,10,pregen_2layer_models/dense_16_8_128_10b.h5
dense_16_8_128_12b,16,8,128,12,pregen_2layer_models/dense_16_8_128_12b.h5
dense_16_8_128_14b,16,8,128,14,pregen_2layer_models/dense_16_8_128_14b.h5
dense_16_8_128_16b,16,8,128,16,pregen_2layer_models/dense_16_8_128_16b.h5
dense_16_16_72_2b,16,16,72,2,pregen_2layer_models/dense_16_16_72_2b.h5
dense_16_16_72_4b,16,16,72,4,pregen_2layer_models/dense_16_16_72_4b.h5
dense_16_16_72_6b,16,16,72,6,pregen_2layer_models/dense_16_16_72_6b.h5
dense_16_16_72_8b,16,16,72,8,pregen_2layer_models/dense_16_16_72_8b.h5
dense_16_16_72_10b,16,16,72,10,pregen_2layer_models/dense_16_16_72_10b.h5
dense_16_16_72_12b,16,16,72,12,pregen_2layer_models/dense_16_16_72_12b.h5
dense_16_16_72_14b,16,16,72,14,pregen_2layer_models/dense_16_16_72_14b.h5
dense_16_16_72_16b,16,16,72,16,pregen_2layer_models/dense_16_16_72_16b.h5
dense_16_16_80_2b,16,16,80,2,pregen_2layer_models/dense_16_16_80_2b.h5
dense_16_16_80_4b,16,16,80,4,pregen_2layer_models/dense_16_16_80_4b.h5
dense_16_16_80_6b,16,16,80,6,pregen_2layer_models/dense_16_16_80_6b.h5
dense_16_16_80_8b,16,16,80,8,pregen_2layer_models/dense_16_16_80_8b.h5
dense_16_16_80_10b,16,16,80,10,pregen_2layer_models/dense_16_16_80_10b.h5
dense_16_16_80_12b,16,16,80,12,pregen_2layer_models/dense_16_16_80_12b.h5
dense_16_16_80_14b,16,16,80,14,pregen_2layer_models/dense_16_16_80_14b.h5
dense_16_16_80_16b,16,16,80,16,pregen_2layer_models/dense_16_16_80_16b.h5
dense_16_16_88_2b,16,16,88,2,pregen_2layer_models/dense_16_16_88_2b.h5
dense_16_16_88_4b,16,16,88,4,pregen_2layer_models/dense_16_16_88_4b.h5
dense_16_16_88_6b,16,16,88,6,pregen_2layer_models/dense_16_16_88_6b.h5
dense_16_16_88_8b,16,16,88,8,pregen_2layer_models/dense_16_16_88_8b.h5
dense_16_16_88_10b,16,16,88,10,pregen_2layer_models/dense_16_16_88_10b.h5
dense_16_16_88_12b,16,16,88,12,pregen_2layer_models/dense_16_16_88_12b.h5
dense_16_16_88_14b,16,16,88,14,pregen_2layer_models/dense_16_16_88_14b.h5
dense_16_16_88_16b,16,16,88,16,pregen_2layer_models/dense_16_16_88_16b.h5
dense_16_16_96_2b,16,16,96,2,pregen_2layer_models/dense_16_16_96_2b.h5
dense_16_16_96_4b,16,16,96,4,pregen_2layer_models/dense_16_16_96_4b.h5
dense_16_16_96_6b,16,16,96,6,pregen_2layer_models/dense_16_16_96_6b.h5
dense_16_16_96_8b,16,16,96,8,pregen_2layer_models/dense_16_16_96_8b.h5
dense_16_16_96_10b,16,16,96,10,pregen_2layer_models/dense_16_16_96_10b.h5
dense_16_16_96_12b,16,16,96,12,pregen_2layer_models/dense_16_16_96_12b.h5
dense_16_16_96_14b,16,16,96,14,pregen_2layer_models/dense_16_16_96_14b.h5
dense_16_16_96_16b,16,16,96,16,pregen_2layer_models/dense_16_16_96_16b.h5
dense_16_16_104_2b,16,16,104,2,pregen_2layer_models/dense_16_16_104_2b.h5
dense_16_16_104_4b,16,16,104,4,pregen_2layer_models/dense_16_16_104_4b.h5
dense_16_16_104_6b,16,16,104,6,pregen_2layer_models/dense_16_16_104_6b.h5
dense_16_16_104_8b,16,16,104,8,pregen_2layer_models/dense_16_16_104_8b.h5
dense_16_16_104_10b,16,16,104,10,pregen_2layer_models/dense_16_16_104_10b.h5
dense_16_16_104_12b,16,16,104,12,pregen_2layer_models/dense_16_16_104_12b.h5
dense_16_16_104_14b,16,16,104,14,pregen_2layer_models/dense_16_16_104_14b.h5
dense_16_16_104_16b,16,16,104,16,pregen_2layer_models/dense_16_16_104_16b.h5
dense_16_16_112_2b,16,16,112,2,pregen_2layer_models/dense_16_16_112_2b.h5
dense_16_16_112_4b,16,16,112,4,pregen_2layer_models/dense_16_16_112_4b.h5
dense_16_16_112_6b,16,16,112,6,pregen_2layer_models/dense_16_16_112_6b.h5
dense_16_16_112_8b,16,16,112,8,pregen_2layer_models/dense_16_16_112_8b.h5
dense_16_16_112_10b,16,16,112,10,pregen_2layer_models/dense_16_16_112_10b.h5
