model_name,d_in,d_out,d_out2,prec,model_file
dense_8_72_120_16b,8,72,120,16,pregen_2layer_models/dense_8_72_120_16b.h5
dense_8_72_128_2b,8,72,128,2,pregen_2layer_models/dense_8_72_128_2b.h5
dense_8_72_128_4b,8,72,128,4,pregen_2layer_models/dense_8_72_128_4b.h5
dense_8_72_128_6b,8,72,128,6,pregen_2layer_models/dense_8_72_128_6b.h5
dense_8_72_128_8b,8,72,128,8,pregen_2layer_models/dense_8_72_128_8b.h5
dense_8_72_128_10b,8,72,128,10,pregen_2layer_models/dense_8_72_128_10b.h5
dense_8_72_128_12b,8,72,128,12,pregen_2layer_models/dense_8_72_128_12b.h5
dense_8_72_128_14b,8,72,128,14,pregen_2layer_models/dense_8_72_128_14b.h5
dense_8_72_128_16b,8,72,128,16,pregen_2layer_models/dense_8_72_128_16b.h5
dense_8_80_8_2b,8,80,8,2,pregen_2layer_models/dense_8_80_8_2b.h5
dense_8_80_8_4b,8,80,8,4,pregen_2layer_models/dense_8_80_8_4b.h5
dense_8_80_8_6b,8,80,8,6,pregen_2layer_models/dense_8_80_8_6b.h5
dense_8_80_8_8b,8,80,8,8,pregen_2layer_models/dense_8_80_8_8b.h5
dense_8_80_8_10b,8,80,8,10,pregen_2layer_models/dense_8_80_8_10b.h5
dense_8_80_8_12b,8,80,8,12,pregen_2layer_models/dense_8_80_8_12b.h5
dense_8_80_8_14b,8,80,8,14,pregen_2layer_models/dense_8_80_8_14b.h5
dense_8_80_8_16b,8,80,8,16,pregen_2layer_models/dense_8_80_8_16b.h5
dense_8_80_16_2b,8,80,16,2,pregen_2layer_models/dense_8_80_16_2b.h5
dense_8_80_16_4b,8,80,16,4,pregen_2layer_models/dense_8_80_16_4b.h5
dense_8_80_16_6b,8,80,16,6,pregen_2layer_models/dense_8_80_16_6b.h5
dense_8_80_16_8b,8,80,16,8,pregen_2layer_models/dense_8_80_16_8b.h5
dense_8_80_16_10b,8,80,16,10,pregen_2layer_models/dense_8_80_16_10b.h5
dense_8_80_16_12b,8,80,16,12,pregen_2layer_models/dense_8_80_16_12b.h5
dense_8_80_16_14b,8,80,16,14,pregen_2layer_models/dense_8_80_16_14b.h5
dense_8_80_16_16b,8,80,16,16,pregen_2layer_models/dense_8_80_16_16b.h5
dense_8_80_24_2b,8,80,24,2,pregen_2layer_models/dense_8_80_24_2b.h5
dense_8_80_24_4b,8,80,24,4,pregen_2layer_models/dense_8_80_24_4b.h5
dense_8_80_24_6b,8,80,24,6,pregen_2layer_models/dense_8_80_24_6b.h5
dense_8_80_24_8b,8,80,24,8,pregen_2layer_models/dense_8_80_24_8b.h5
dense_8_80_24_10b,8,80,24,10,pregen_2layer_models/dense_8_80_24_10b.h5
dense_8_80_24_12b,8,80,24,12,pregen_2layer_models/dense_8_80_24_12b.h5
dense_8_80_24_14b,8,80,24,14,pregen_2layer_models/dense_8_80_24_14b.h5
dense_8_80_24_16b,8,80,24,16,pregen_2layer_models/dense_8_80_24_16b.h5
dense_8_80_32_2b,8,80,32,2,pregen_2layer_models/dense_8_80_32_2b.h5
dense_8_80_32_4b,8,80,32,4,pregen_2layer_models/dense_8_80_32_4b.h5
dense_8_80_32_6b,8,80,32,6,pregen_2layer_models/dense_8_80_32_6b.h5
dense_8_80_32_8b,8,80,32,8,pregen_2layer_models/dense_8_80_32_8b.h5
dense_8_80_32_10b,8,80,32,10,pregen_2layer_models/dense_8_80_32_10b.h5
dense_8_80_32_12b,8,80,32,12,pregen_2layer_models/dense_8_80_32_12b.h5
dense_8_80_32_14b,8,80,32,14,pregen_2layer_models/dense_8_80_32_14b.h5
dense_8_80_32_16b,8,80,32,16,pregen_2layer_models/dense_8_80_32_16b.h5
dense_8_80_40_2b,8,80,40,2,pregen_2layer_models/dense_8_80_40_2b.h5
dense_8_80_40_4b,8,80,40,4,pregen_2layer_models/dense_8_80_40_4b.h5
dense_8_80_40_6b,8,80,40,6,pregen_2layer_models/dense_8_80_40_6b.h5
dense_8_80_40_8b,8,80,40,8,pregen_2layer_models/dense_8_80_40_8b.h5
dense_8_80_40_10b,8,80,40,10,pregen_2layer_models/dense_8_80_40_10b.h5
dense_8_80_40_12b,8,80,40,12,pregen_2layer_models/dense_8_80_40_12b.h5
dense_8_80_40_14b,8,80,40,14,pregen_2layer_models/dense_8_80_40_14b.h5
dense_8_80_40_16b,8,80,40,16,pregen_2layer_models/dense_8_80_40_16b.h5
