model_name,d_in,d_out,prec,model_file,rf,strategy,hls_synth_success,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,FF_hls,LUT_hls,BRAM_18K_hls,DSP_hls,URAM_hls,AvailableBRAM_18K_hls,AvailableDSP_hls,AvailableFF_hls,AvailableLUT_hls,AvailableURAM_hls
dense_32_96_2b,32,96,2,pregen_models/dense_32_96_2b.h5,512,latency,True,5.0,3.815,2.0,2.0,3.0,3.0,1510.0,17435.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_2b,32,96,2,pregen_models/dense_32_96_2b.h5,1024,latency,True,5.0,3.815,2.0,2.0,3.0,3.0,1510.0,17435.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_4b,32,96,4,pregen_models/dense_32_96_4b.h5,1,latency,True,5.0,4.37,1.0,1.0,1.0,1.0,3666.0,40466.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_4b,32,96,4,pregen_models/dense_32_96_4b.h5,512,latency,True,5.0,4.37,2.0,2.0,3.0,3.0,2132.0,39628.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_4b,32,96,4,pregen_models/dense_32_96_4b.h5,1024,latency,True,5.0,4.37,2.0,2.0,3.0,3.0,2132.0,39628.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_6b,32,96,6,pregen_models/dense_32_96_6b.h5,1,latency,True,5.0,3.847,1.0,1.0,1.0,1.0,6116.0,65017.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_6b,32,96,6,pregen_models/dense_32_96_6b.h5,512,latency,True,5.0,3.847,2.0,2.0,3.0,3.0,4582.0,64179.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_6b,32,96,6,pregen_models/dense_32_96_6b.h5,1024,latency,True,5.0,3.847,2.0,2.0,3.0,3.0,4582.0,64179.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_8b,32,96,8,pregen_models/dense_32_96_8b.h5,1,latency,True,5.0,4.185,1.0,1.0,1.0,1.0,7460.0,86860.0,0.0,581.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_8b,32,96,8,pregen_models/dense_32_96_8b.h5,512,latency,True,5.0,4.335,105.0,105.0,106.0,106.0,25628.0,85869.0,0.0,6.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_8b,32,96,8,pregen_models/dense_32_96_8b.h5,1024,latency,True,5.0,4.335,157.0,157.0,158.0,158.0,25602.0,85682.0,0.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_10b,32,96,10,pregen_models/dense_32_96_10b.h5,1,latency,True,5.0,4.175,1.0,1.0,1.0,1.0,8643.0,87597.0,0.0,1815.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_10b,32,96,10,pregen_models/dense_32_96_10b.h5,512,latency,True,5.0,4.359,307.0,307.0,308.0,308.0,34993.0,84655.0,0.0,6.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_10b,32,96,10,pregen_models/dense_32_96_10b.h5,1024,latency,True,5.0,4.359,460.0,460.0,461.0,461.0,35102.0,84356.0,0.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_12b,32,96,12,pregen_models/dense_32_96_12b.h5,1,latency,True,5.0,4.155,1.0,1.0,1.0,1.0,9604.0,79599.0,0.0,2583.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_12b,32,96,12,pregen_models/dense_32_96_12b.h5,512,latency,True,5.0,4.185,433.0,433.0,434.0,434.0,31707.0,77874.0,0.0,6.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_12b,32,96,12,pregen_models/dense_32_96_12b.h5,1024,latency,True,5.0,4.185,648.0,648.0,649.0,649.0,31811.0,77272.0,0.0,4.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_14b,32,96,14,pregen_models/dense_32_96_14b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_96_14b,32,96,14,pregen_models/dense_32_96_14b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_96_14b,32,96,14,pregen_models/dense_32_96_14b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_128_2b,32,128,2,pregen_models/dense_32_128_2b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_128_2b,32,128,2,pregen_models/dense_32_128_2b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_128_2b,32,128,2,pregen_models/dense_32_128_2b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_128_4b,32,128,4,pregen_models/dense_32_128_4b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_128_4b,32,128,4,pregen_models/dense_32_128_4b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_128_4b,32,128,4,pregen_models/dense_32_128_4b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_128_6b,32,128,6,pregen_models/dense_32_128_6b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_128_6b,32,128,6,pregen_models/dense_32_128_6b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_128_6b,32,128,6,pregen_models/dense_32_128_6b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_128_8b,32,128,8,pregen_models/dense_32_128_8b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_128_8b,32,128,8,pregen_models/dense_32_128_8b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_128_8b,32,128,8,pregen_models/dense_32_128_8b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_128_10b,32,128,10,pregen_models/dense_32_128_10b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_128_10b,32,128,10,pregen_models/dense_32_128_10b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_128_10b,32,128,10,pregen_models/dense_32_128_10b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_128_12b,32,128,12,pregen_models/dense_32_128_12b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_128_12b,32,128,12,pregen_models/dense_32_128_12b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_128_12b,32,128,12,pregen_models/dense_32_128_12b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_128_14b,32,128,14,pregen_models/dense_32_128_14b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_128_14b,32,128,14,pregen_models/dense_32_128_14b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_128_14b,32,128,14,pregen_models/dense_32_128_14b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_160_2b,32,160,2,pregen_models/dense_32_160_2b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_160_2b,32,160,2,pregen_models/dense_32_160_2b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_160_2b,32,160,2,pregen_models/dense_32_160_2b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_160_4b,32,160,4,pregen_models/dense_32_160_4b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_160_4b,32,160,4,pregen_models/dense_32_160_4b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_160_4b,32,160,4,pregen_models/dense_32_160_4b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_160_6b,32,160,6,pregen_models/dense_32_160_6b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_160_6b,32,160,6,pregen_models/dense_32_160_6b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_160_6b,32,160,6,pregen_models/dense_32_160_6b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_160_8b,32,160,8,pregen_models/dense_32_160_8b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_160_8b,32,160,8,pregen_models/dense_32_160_8b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_160_8b,32,160,8,pregen_models/dense_32_160_8b.h5,1024,latency,False,,,,,,,,,,,,,,,,
dense_32_160_10b,32,160,10,pregen_models/dense_32_160_10b.h5,1,latency,False,,,,,,,,,,,,,,,,
dense_32_160_10b,32,160,10,pregen_models/dense_32_160_10b.h5,512,latency,False,,,,,,,,,,,,,,,,
dense_32_160_10b,32,160,10,pregen_models/dense_32_160_10b.h5,1024,latency,False,,,,,,,,,,,,,,,,
