model_name,d_in,d_out,prec,model_file,rf,strategy,hls_synth_success,TargetClockPeriod_hls,EstimatedClockPeriod_hls,BestLatency_hls,WorstLatency_hls,IntervalMin_hls,IntervalMax_hls,FF_hls,LUT_hls,BRAM_18K_hls,DSP_hls,URAM_hls,AvailableBRAM_18K_hls,AvailableDSP_hls,AvailableFF_hls,AvailableLUT_hls,AvailableURAM_hls
dense_32_96_2b,32,96,2,pregen_models/dense_32_96_2b.h5,1,resource,True,5.0,3.815,0.0,0.0,1.0,1.0,1538.0,18111.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_2b,32,96,2,pregen_models/dense_32_96_2b.h5,512,resource,True,5.0,3.344,513.0,514.0,512.0,512.0,1673.0,12130.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_2b,32,96,2,pregen_models/dense_32_96_2b.h5,1024,resource,True,5.0,3.328,1025.0,1026.0,1024.0,1024.0,1670.0,10028.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_4b,32,96,4,pregen_models/dense_32_96_4b.h5,1,resource,True,5.0,4.35,1.0,1.0,2.0,2.0,1699.0,41077.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_4b,32,96,4,pregen_models/dense_32_96_4b.h5,512,resource,True,5.0,3.344,513.0,514.0,512.0,512.0,1684.0,12130.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_4b,32,96,4,pregen_models/dense_32_96_4b.h5,1024,resource,True,5.0,3.328,1025.0,1026.0,1024.0,1024.0,1675.0,10028.0,2.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_6b,32,96,6,pregen_models/dense_32_96_6b.h5,1,resource,True,5.0,4.336,1.0,1.0,2.0,2.0,4483.0,67086.0,0.0,0.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_6b,32,96,6,pregen_models/dense_32_96_6b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1741.0,12105.0,2.0,6.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_6b,32,96,6,pregen_models/dense_32_96_6b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1696.0,10018.0,2.0,3.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_8b,32,96,8,pregen_models/dense_32_96_8b.h5,1,resource,True,5.0,4.155,1.0,1.0,2.0,2.0,14414.0,85883.0,0.0,581.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_8b,32,96,8,pregen_models/dense_32_96_8b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1741.0,12100.0,3.0,6.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_8b,32,96,8,pregen_models/dense_32_96_8b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1696.0,10013.0,3.0,3.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_10b,32,96,10,pregen_models/dense_32_96_10b.h5,1,resource,True,5.0,4.235,1.0,1.0,2.0,2.0,24621.0,79625.0,0.0,1815.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_10b,32,96,10,pregen_models/dense_32_96_10b.h5,512,resource,True,5.0,3.691,513.0,514.0,512.0,512.0,1741.0,12100.0,3.0,6.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
dense_32_96_10b,32,96,10,pregen_models/dense_32_96_10b.h5,1024,resource,True,5.0,3.691,1025.0,1026.0,1024.0,1024.0,1696.0,10013.0,3.0,3.0,0.0,5376.0,12288.0,3456000.0,1728000.0,1280.0
